Subject,Question,Option A,Option B,Option C,Option D,Correct Answer,Chapter Name,Correct Option
Maths,The GST paid on an item costing ₹1000 at 18% is: ,₹ 180,₹ 80,"₹ 1,180",₹ 100, A,GST / Commercial Maths,
Maths,"If the principal is ₹5000 and CI for 2 years at 10% is ₹1,025, what is the amount? ","₹ 6,025","₹ 6,020","₹ 6,026","₹ 5,200", A,Compound Interest,
Maths,The solution set of 2x + 3 = 7 is: , {2} , {3} , {1} , {–2} , C,Linear Equations,
Maths,"If x² – 9 = 0, then x = ", ±3 , ±9 ,0,3, A,Quadratic Equations,
Maths,"The product of matrices [[1,2],[3,4]] and [[2,0],[1,2]] is: "," [[4,4],[10,8]] "," [[2,2],[4,4]] "," [[3,4],[5,6]] "," [[1,1],[1,1]] ", A,Matrices,
Maths,"If x : y = 3 : 4, then y : x = ", 4 : 3 , 3 : 4 , 7 : 3 , 1 : 1 , A,Ratio and Proportion,
Maths,"5th term of AP 3, 7, 11… is: ",19,15,11,23, A,Arithmetic Progression,
Maths,"The midpoint of (2,–3) and (6,5) is: "," (4,1) "," (3,1) "," (8,2) "," (2,5) ", A,Coordinate Geometry,
Maths,"In a right triangle with angles 30°, 60°, 90°, the sides are in ratio: ", 1:√3:2 , 1:1:1 , 2:2:2 , 1:2:3 , A,Trigonometry,
Maths,The probability of getting an even number on a fair die is: , 1/2 , 1/3 , 1/6 , 2/3 , A,Probability,
Maths,"If GST rate is 12% on ₹750 item, total GST = ",₹ 90,₹ 75,₹ 120,₹ 180, A,GST / Commercial Maths,
Maths,The roots of x² – 5x + 6 = 0 are: ," 2, 3 "," –2, –3 "," 1, 6 "," 3, 2 ", A,Quadratic Equations,
Maths,"The determinant of [[2,3],[4,5]] is: ", –2 ,2, –1 ,1, A,Matrices,
Maths,If ratio a:b = 5:8 and b:c = 3:4 then a:c = , 5:8 , 15:32 , 5:12 , 3:2 , B,Ratio and Proportion,
Maths,Sum of first 10 natural numbers is: ,55,45,65,50, A,Series / Summation,
Maths,"Reflection of point (3,4) in x-axis is: "," (3,–4) "," (–3,4) "," (–3,–4) "," (3,4) ", A,Coordinate Geometry,
Maths,"In a circle, equal chords are: ", equidistant from the centre , unequal , perpendicular , concentric , A,Geometry – Circles,
Maths,The perimeter of a rectangle 5 by 8 is: ,26,40,13,20, A,Mensuration,
Maths,The circumference of a circle radius 7 cm is: , 44 cm , 14 cm , 28 cm , 22 cm , A,Mensuration,
Maths,"Mean of (2,4,6,8) is: ",5,6,4,7, A,Measures of Central Tendency,
Maths,"Median of (3,5,7,9,11) is: ",7,5,9,11, A,Measures of Central Tendency,
Maths,sin 30° = , 1/2 , √3/2 ,1,0, A,Trigonometry,
Maths,"If tan θ = 1, then θ = ", 45° , 30° , 60° , 90° , A,Trigonometry,
Maths,The area of triangle with base 10 and height 6 is: ,30,60,16,20, A,Mensuration,
Maths,Solution of 3x + 4 < 10 is: , x < 2 , x > 2 , x < 3 , x > 3 , A,Linear Inequalities,
Maths,"If dividend theorem is applied to f(x), remainder is: ", f(a) , a ,0, x , A,Remainder Theorem,
Maths,"For a combined ratio 2:3 and 3:4, a:b:c = ", 8:12:12 , 6:9:12 , 2:3:4 , 3:4:5 , B,Ratio and Proportion,
Maths,"For geometric progression 2,4,8…, 4th term is: ",16,12,10,8, A,Geometric Progression,
Maths,"Distance between (1,2) and (4,6) is: ",5,7,6,4, A,Coordinate Geometry,
Maths,Solution of 2x² – 8x = 0 is: ," {0,4} "," {2,4} "," {1,4} "," {0,2} ", A,Quadratic Equations,
Maths,Compound interest on ₹800 at 10% for 1 year = ,₹ 80,₹ 90,₹ 75,₹ 100, A,Compound Interest,
Maths,If 4x + 1 = 13 then x = ,3,2,4,1, A,Linear Equations,
Maths,"In a matrix, row × column = ", product , sum , identity , quotient , A,Matrices,
Maths,Ratio of 15:45 simplifies to: , 1:3 , 3:1 , 1:2 , 2:3 , A,Ratio and Proportion,
Maths,Sum of interior angles of a triangle = , 180° , 360° , 90° , 270° , A,Geometry – Triangles,
Maths,Quadratic equation with roots 2 & 3: , x² –5x+6=0 , x²+5x+6=0 , x²–x+6=0 , x –1=0 , A,Quadratic Equations,
Maths,Scalar multiple of matrix multiplies: , each element , diagonal only , trace , inverse , A,Matrices,
Maths,"If sin θ = cos θ, θ = ", 45° , 30° , 60° , 90° , A,Trigonometry,
Maths,Area of circle radius 14 = , 616π , 196π , 88π , 78π , A,Mensuration,
Maths,"Probability of selecting red from 5 red, 3 blue = ", 5/8 , 3/8 , 1/2 , 5/3 , A,Probability,
Maths,The solution of 5 + x = 12 is: ,7,5,17,12, A,Linear Equations,
Maths,"In proportion 4:8 = x:16, x = ",8,6,4,12, A,Ratio and Proportion,
Maths,"Arithmetic mean of 10,20,30 is: ",20,30,15,25, A,Measures of Central Tendency,
Maths,Perimeter of square of side 9 is: ,36,27,18,45, A,Mensuration,
Maths,Log10 100 = ,2,1,3,0, A,Logarithms,
Maths,"If angle of elevation = 30°, height = 10, base = ",17.32,5,10,8.66, D,Trigonometry / Geometry,
Maths,"In a frequency distribution, the mode is: ", highest frequency , lowest , average , range , A,Measures of Central Tendency,
Maths,Simple interest on ₹1000 @ 5% for 2 years = ,₹ 100,₹ 200,₹ 50,₹ 150, B,Simple Interest,
Maths,Quadratic eqn with no real roots has discriminant: , <0 , >0 , =0 , infinite , A,Quadratic Equations,
Maths,"Gradient of line through (1,2) & (3,6) = ",2,1,4,3, A,Coordinate Geometry,
Maths,"[Mensuration] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",A is true but R is false,Both A and R are true but R is not the correct explanation of A,Both A and R are true and R is the correct explanation of A,A is false but R is true,C,Quadratic Equations,
Maths,"The HCF and LCM of two numbers are 12 and 180 respectively. If one number is 36, the other number is",48,60,72,90,B,Number Theory,
Maths,The quadratic equation whose roots are 3 and –5 is,x² + 2x – 15 = 0,x² – 2x – 15 = 0,x² + 15x – 2 = 0,x² – 15x – 2 = 0,A,Quadratic Equations,
Maths,"The 15th term of the AP: –7, –3, 1, 5, … is",49,51,53,55,B,Arithmetic Progre,
Maths,"If sin θ = √3/2 and θ is acute, then cos θ equals",1/2,√3/2,–1/2,–√3/2,A,Trignometry,
Maths,The value of k for which the lines 3x – ky = 1 and 6x – 4y = 5 are parallel is,2,4,6,8,B,Geometry,
Maths,"The determinant of the matrix [[2, 3], [4, 6]] is",6,12,0,–6,C,Matrices,
Maths,The radius of a circle whose area is 154 cm² is,7 cm,14 cm,21 cm,3.5 cm,A,Construction,
Maths,"If tan A = 1, then A equals",30°,45°,60°,90°,B,Trignometry,
Maths,"The distance between points (2, –3) and (–4, 5) is",√68,10,√100,√52,C,Geometry,
Maths,"If the mean of the first n natural numbers is 20, then n equals",19,39,40,41,B,"Stasticts, Measures of central tendancy",
Physics,[Heat] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,A is false but R is true,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,B,Heat,
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Alpha particles,Beta particles,X-rays,Gamma rays,D,Modern Physics,
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",180Â°,0Â°,90Â°,45Â°,C,"Work, Force & Energy",
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Frequency decreases,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,B,Light,
Physics,[Sound] The pitch of a sound depends on:,Speed of sound,Distance from source,Frequency of vibration,Amplitude of vibration,C,Sound,
Physics,[Electricity] A resistor of resistance 4 Î© is connected to a 5 V battery. The current flowing through the circuit is:,1.75 A,2.25 A,0.95 A,1.25 A,D,Electricity,
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0Â°C to water at 0Â°C is called:,Specific heat capacity,Latent heat of vaporization,Thermal capacity,Latent heat of fusion,D,Heat,
Physics,[Electricity] A resistor of resistance 3 Î© is connected to a 7 V battery. The current flowing through the circuit is:,2.33 A,3.33 A,2.83 A,2.03 A,A,Electricity,
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",180Â°,0Â°,90Â°,45Â°,C,Magnetism,
Chemistry,[Organic Chemistry] The functional group present in ethanol is:,-CH2,-OH,-NH2,-COOH,B,Organic Chemistry,
Chemistry,[Analytical Chemistry] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is false but R is true,A is true but R is false,A,Analytical Chemistry,
Chemistry,[Periodic Table] Which of the following elements has the highest electronegativity?,Fluorine,Oxygen,Chlorine,Nitrogen,A,Periodic Table,
Chemistry,The bond formed by sharing of electrons is called:,Ionic bond,Hydrogen bond,Covalent bond,Metallic bond,C,Chemical Bonding,
Chemistry,Which salt is formed when hydrochloric acid reacts with sodium hydroxide?,Sodium sulphate,Sodium chloride,Sodium carbonate,Sodium nitrate,B,"Acids, Bases & Salts",
Chemistry, The number of molecules in one mole of a substance is,6.022e23,9.8,3.0e18,1.6e-19,A,Mole Concept,
Chemistry,"During electrolysis, oxidation occurs at the:",Anode,External circuit,Electrolyte,Cathode,A,Electrolysis,
Chemistry,Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is true but R is false,Both A and R are true and R is the correct explanation of A,A is false but R is true,Both A and R are true but R is not the correct explanation of A,B,Study of Compounds,
Chemistry, Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is false but R is true,A is true but R is false,Both A and R are true but R is not the correct explanation of A,Both A and R are true and R is the correct explanation of A,D,Electrolysis,
Chemistry,Which process is used for the concentration of sulphide ores?,Electrolysis,Froth flotation,Roasting,Calcination,B,Metallurgy,
Chemistry,Which gas is evolved when zinc reacts with dilute sulphuric acid?,Carbon dioxide,Oxygen,Sulphur dioxide,Hydrogen,D,Study of Compounds,
Chemistry,Which reagent is used to test the presence of chloride ions?,Lime water,Barium chloride,Silver nitrate,Phenolphthalein,C,Analytical Chemistry,
Chemistry,"[Acids, Bases & Salts] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.",A is true but R is false,A is false but R is true,Both A and R are true but R is not the correct explanation of A,Both A and R are true and R is the correct explanation of A,D,"Acids, Bases & Salts",
Chemistry,[Periodic Table] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,Both A and R are true and R is the correct explanation of A,D,Periodic Table,
Chemistry,[Organic Chemistry] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is true but R is false,Both A and R are true but R is not the correct explanation of A,A is false but R is true,Both A and R are true and R is the correct explanation of A,D,Organic Chemistry,
Chemistry,[Metallurgy] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is false but R is true,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,B,Metallurgy,
Chemistry,[Mole Concept] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is true but R is false,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is false but R is true,B,Mole Concept,
Biology,[Genetics & Evolution] Which of the following is a sex-linked disease?,Haemophilia,Malaria,Tuberculosis,Cholera,A,Genetics & Evolution,
Biology,[Plant Physiology] The opening and closing of stomata is regulated by:,Phloem,Xylem,Guard cells,Epidermal cells,C,Plant Physiology,
Biology,[Environment & Pollution] Assertion (A): Transpiration helps in the upward movement of water in plants. Reason (R): Evaporation of water from leaves creates a transpiration pull.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Environment & Pollution,
Biology,"[Practical Biology] In an osmosis experiment using potato strips, the strip kept in salt solution becomes:",Rigid,Turgid,Swollen,Flaccid,D,Practical Biology,
Biology,[Cell Biology] Which cell organelle is known as the powerhouse of the cell?,Nucleus,Golgi apparatus,Ribosome,Mitochondria,D,Cell Biology,
Biology,[Health & Hygiene] Assertion (A): Transpiration helps in the upward movement of water in plants. Reason (R): Evaporation of water from leaves creates a transpiration pull.,A is false but R is true,A is true but R is false,Both A and R are true but R is not the correct explanation of A,Both A and R are true and R is the correct explanation of A,D,Health & Hygiene,
Biology,[Population] An increase in population beyond carrying capacity results in:,Species stability,No change,Ecological balance,Environmental degradation,D,Population,
Biology,[Environment & Pollution] Which gas is mainly responsible for global warming?,Carbon dioxide,Hydrogen,Oxygen,Nitrogen,A,Environment & Pollution,
Biology,[Plant Physiology] Assertion (A): Transpiration helps in the upward movement of water in plants. Reason (R): Evaporation of water from leaves creates a transpiration pull.,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,Both A and R are true and R is the correct explanation of A,D,Plant Physiology,
Biology,[Human Physiology] Which component of blood helps in clotting?,Platelets,RBC,Plasma,WBC,A,Human Physiology,
Biology,[Reproductive System] The site of fertilization in humans is:,Fallopian tube,Cervix,Ovary,Uterus,A,Reproductive System,
Biology,[Health & Hygiene] Which disease is caused by deficiency of vitamin D?,Beriberi,Rickets,Night blindness,Scurvy,B,Health & Hygiene,
Physics,The work done in moving a charge of 5 C across a potential difference of 12 V is,60 J,2.4 J,17 J,0.4 J,A,Current Electricity,
Physics,A fuse wire should have,low resistivity and high melting point,high resistivity and low melting point,low resistivity and low melting point,high resistivity and high melting point,B,Household Circuits,
Physics,The image formed by a concave lens is always,real and inverted,real and erect,virtual and erect,virtual and inverted,C,Refraction Through a Lens,
Physics,The frequency of an AC supply in India is,25 Hz,50 Hz,100 Hz,60 Hz,B,Current Electricity,
Physics,Which radiation has the least penetrating power?,Alpha,Beta,Gamma,X-rays,A,Radioactivity,
Physics,"If the speed of a body becomes double, its kinetic energy becomes",double,triple,four times,half,C,"Work, Force & Energy",
Physics,The neutral point in a bar magnet is the point where,magnetic field is strongest,magnetic field is zero,magnetic field is maximum,earth’s field is absent,B,Electromagnetism,
Physics,Sound travels fastest in,air,water,vacuum,steel,D,Sound,
Physics,The unit of electric power is,kilowatt-hour,joule,watt,volt,C,Current Electricity,
Physics,An ammeter is connected in,parallel,series,either way,diagonal,B,Current Electricity,
Chemistry,The element with atomic number 12 belongs to,group 2,group 12,group 10,group 1,A,Periodic Table,
Chemistry,The pH value of a strong acid is,less than 7,equal to 7,greater than 7,zero,A,"Acids, Bases & Salts",
Chemistry,Which gas is evolved when sodium reacts with water?,Oxygen,Hydrogen,Nitrogen,Carbon dioxide,B,Study of Compounds,
Chemistry,The process of converting sugar into alcohol is called,oxidation,fermentation,hydration,neutralization,B,Study of Compounds,
Chemistry,Which of the following is an oxidising agent?,Hydrogen,Carbon monoxide,Potassium permanganate,Zinc,C,Study of Compounds,
Chemistry,The functional group present in ethanoic acid is,–OH,–CHO,–COOH,–COO–,C,Organic Chemistry,
Chemistry,The compound used to dry ammonia gas is,conc. H₂SO₄,quicklime,P₂O₅,anhydrous CaCl₂,B,Study of Compounds,
Chemistry,The ore of aluminium is,haematite,bauxite,calamine,galena,B,Metallurgy,
Chemistry,Which bond is present in NaCl?,Covalent,Metallic,Hydrogen,Electrovalent,D,Chemical Bonding,
Chemistry,The molecular formula of ethene is,C₂H₆,C₂H₄,C₃H₆,CH₄,B,Organic Chemistry,
Biology,The site of photosynthesis in a plant cell is,mitochondria,ribosome,chloroplast,nucleus,C,Photosynthesis,
Biology,Which blood vessel carries oxygenated blood from lungs to heart?,pulmonary artery,pulmonary vein,aorta,vena cava,B,Circulatory System,
Biology,The functional unit of kidney is,nephron,neuron,alveolus,villus,A,Human Physiology,
Biology,The opening and closing of stomata is controlled by,epidermal cells,guard cells,root hairs,xylem,B,Plant Physiology,
Biology,Which hormone regulates blood sugar level?,Thyroxine,Insulin,Adrenaline,Estrogen,B,Endocrine,
Biology,Fertilization in humans occurs in the,uterus,ovary,fallopian tube,cervix,C,Reproductive System,
Biology,Which disease is caused by deficiency of iodine?,Rickets,Goitre,Scurvy,Anaemia,B,Endocrine,
Biology,Transpiration pull helps in,absorption of water,transport of food,transport of water,respiration,C,Plant Physiology,
Biology,The chromosome number in human gametes is,46,23,22,44,B,Reproductive System,
Biology,Which organism is used in bread making?,Bacteria,Virus,Yeast,Algae,C,Cell,
Physics,Two resistors of 4 Ω and 6 Ω are connected in parallel. The equivalent resistance is,10 Ω,5 Ω,2.4 Ω,1.5 Ω,C,Current Electricity,
Physics,"If the frequency of an AC source is doubled, the time period becomes",double,half,same,four times,B,Current Electricity,
Physics,A ray of light passes from glass to air. The angle of incidence is greater than the critical angle. The ray will,refract,reflect,totally reflect,bend towards normal,C,Refraction of Light at Plane surfaces,
Physics,The energy of a body executing SHM is proportional to,amplitude,square of amplitude,frequency,velocity,B,Sound,
Physics,Which factor does NOT affect the resistance of a conductor?,length,area of cross-section,temperature,voltage,D,Current Electricity,
Physics,"In Fleming’s left-hand rule, the thumb represents",current,force,magnetic field,emf,B,Electromagnetism,
Physics,"A body is thrown vertically upwards. At the highest point, its",velocity is zero but acceleration is zero,velocity is zero but acceleration is g,velocity and acceleration are zero,acceleration is zero but velocity is g,B,Force,
Physics,The colour of light with the highest frequency is,red,green,blue,violet,D,Spectrum,
Physics,The efficiency of a machine can never be 100% because,some energy is always lost as heat due to friction,input work is always less than output work,the machine does not obey the law of conservation of energy,useful work is always greater than total work,A,Machines,
Maths,"If the roots of 2x² + kx + 8 = 0 are equal, the value of k is",8,–8,±8,±4√4,C,Quadratic Equations,
Maths,The sum of the first n terms of an AP is 3n² + 5n. The common difference is,3,5,6,8,C,Arithmetic Progression,
Maths,"If sin A = 3/5 where A is acute, then (1 − tan²A)/(1 + tan²A) equals",7/25,16/25,–7/25,9/25,A,Trigonometry,
Maths,"The value of k for which the points (1,2), (4,k), (6,8) are collinear is",4,5,6,7,B,Coordinate Geometry,
Maths,"The determinant of the matrix [[x,2],[3,4]] is zero when x equals",0,1,2,1.5,D,Matrices,
Maths,The ratio of the areas of two circles is 9 : 16. The ratio of their radii is,03:04,04:03,09:16,16:09,A,Mensuration,
Maths,"If tan(A + B) = 1, where A = 30°, then B equals",15°,30°,45°,60°,C,Trigonometry,
Maths,"The mean of 10 observations is 12. If each observation is increased by 3, the new mean is",12,15,18,30,B,Measures of Central Tendency,
Maths,"The locus of a point equidistant from points (–2,0) and (2,0) is",x-axis,y-axis,line y = x,line y = –x,B,Coordinate Geometry,
Maths,"If x = 2 is a solution of x³ + ax² – 4x – 8 = 0, then a equals",2,–2,4,–4,B,Polynomial Equations,
Chemistry,"An element has electronic configuration 2,8,7. It will",gain one electron,lose one electron,share seven electrons,lose seven electrons,A,Periodic Table,
Chemistry,Which compound will turn moist red litmus blue?,CO₂,NH₃,SO₂,HCl,B,"Acids, Bases & Salts",
Chemistry,The gas collected over water must be,soluble in water,heavier than air,insoluble in water,lighter than water,C,Study of Compounds,
Chemistry,Which reaction represents oxidation?,Fe²⁺ → Fe³⁺,Cl₂ → 2Cl⁻,H⁺ → H,O²⁻ → O,A,Study of Compounds,
Chemistry,The correct order of reactivity is,Zn > Fe > Cu,Cu > Fe > Zn,Fe > Zn > Cu,Zn > Cu > Fe,A,Study of Compounds,
Chemistry,Which acid is present in vinegar?,Methanoic,Citric,Ethanoic,Lactic,C,Study of Compounds,
Chemistry,The process of heating an ore in limited air is,roasting,calcination,smelting,electrolysis,B,Metallurgy,
Chemistry,Which compound will give a precipitate with AgNO₃?,NaCl,NaNO₃,Na₂SO₄,NaOH,A,Analytical Chemistry,
Chemistry,The reducing agent in Zn + CuO → ZnO + Cu is,Zn,CuO,Cu,ZnO,A,Study of Compounds,
Chemistry,The IUPAC name of CH₃–CH₂–OH is,methanol,ethanol,propanol,ethanoic acid,B,Organic Chemistry,
Biology,Which structure prevents backflow of blood in the heart?,septum,valves,auricle,ventricle,B,Circulatory System,
Biology,The sequence of passage of food in humans is,stomach → oesophagus → intestine,oesophagus → stomach → intestine,mouth → intestine → stomach,intestine → stomach → oesophagus,B,Human Physiology,
Biology,Which process releases energy in living cells?,photosynthesis,respiration,transpiration,diffusion,B,Cell,
Biology,The number of chromosomes in a human zygote is,23,46,22,44,B,Reproductive System,
Biology,The part of the brain that controls balance is,cerebrum,medulla,cerebellum,pons,C,Human Physiology,
Biology,Which blood group is known as universal donor?,A,B,AB,O,D,Circulatory System,
Biology,The function of xylem is,transport of food,transport of water,respiration,storage,B,Plant Physiology,
Biology,A bisexual flower contains,only stamens,only carpels,both stamens and carpels,neither,C,Plant Physiology,
Biology,Which disease is caused by Plasmodium?,Dengue,Malaria,Typhoid,Cholera,B,"Pollution / Health & Hygiene (Vector-borne disease, fits environment & health topics)",
Biology,Which organ detoxifies harmful substances?,kidney,liver,pancreas,spleen,B,Excretory System / Liver (Cellular),
Biology,Which cell organelle controls cell activities?,Ribosome,Nucleus,Mitochondria,Chloroplast,B,Cell Biology,
Biology,Which structure is absent in animal cells?,Cell membrane,Cell wall,Nucleus,Mitochondria,B,Cell Biology,
Biology,Alternative forms of a gene are called,Alleles,Chromatids,Traits,Genes,A,Genetics,
Biology,Genotype of a heterozygous tall plant is,TT,tt,Tt,T,C,Genetics,
Biology,Main force responsible for ascent of sap is,Root pressure,Capillarity,Transpiration pull,Diffusion,C,Plant Physiology,
Biology,Which tissue transports food in plants?,Xylem,Phloem,Cambium,Cortex,B,Plant Physiology,
Biology,Photosynthesis takes place in presence of,CO₂,O₂,Sunlight,All of these,D,Plant Physiology,
Biology,Which chamber of heart receives oxygenated blood?,Right atrium,Left atrium,Right ventricle,Left ventricle,B,Human Physiology,
Biology,Which blood vessel has maximum pressure?,Vein,Capillary,Artery,Vena cava,C,Human Physiology,
Biology,Which pigment carries oxygen in blood?,Melanin,Chlorophyll,Haemoglobin,Myoglobin,C,Human Physiology,
Biology,Functional unit of kidney is,Neuron,Nephron,Alveolus,Glomerulus,B,Excretory System,
Biology,Which part of brain controls balance?,Cerebrum,Cerebellum,Medulla,Hypothalamus,B,Nervous System,
Biology,Which nerve carries impulses from receptor to CNS?,Motor,Spinal,Autonomic,Sensory,D,Nervous System,
Biology,Which hormone regulates blood sugar?,Thyroxine,Insulin,Adrenaline,Glucagon,B,Endocrine System,
Biology,Deficiency of thyroxine in adults causes,Cretinism,Goitre,Diabetes,Dwarfism,B,Endocrine System,
Biology,Site of fertilisation in humans is,Ovary,Uterus,Fallopian tube,Cervix,C,Reproductive System,
Biology,Which hormone maintains pregnancy?,Estrogen,Progesterone,FSH,LH,B,Reproductive System,
Biology,Birth rate is defined as,Deaths per year,Births per year per 1000,Population size,Growth rate,B,Population,
Biology,Which human ancestor had upright posture?,Australopithecus,Neanderthal,Cro-Magnon,Homo habilis,A,Human Evolution,
Biology,Which pollutant causes eutrophication?,CO₂,Nitrates,SO₂,CO,B,Pollution,
Biology,Which gas is responsible for acid rain?,CO₂,SO₂,O₃,N₂,B,Pollution,
Biology,Which chemical is used to test presence of starch?,Iodine,Benedict’s reagent,Fehling’s solution,Biuret,A,Practicals,
Biology,Which cell type lacks nucleus?,WBC,Platelet,RBC,Neuron,C,Practicals,
Biology,Transpiration is maximum during,Night,Morning,Afternoon,Evening,C,Practicals,
Biology,Which structure prevents backflow of blood in veins?,Valves,Septum,Capillaries,Atria,A,Practicals,
Chemistry,Which element has the highest electronegativity?,Oxygen,Nitrogen,Fluorine,Chlorine,C,Periodic Table,
Chemistry,Number of shells in an atom is equal to its,Atomic number,Valency,Period number,Group number,C,Periodic Table,
Chemistry,Which compound is covalent in nature?,NaCl,KCl,HCl,MgO,C,Chemical Bonding,
Chemistry,Which substance contains coordinate bonds?,NH₃,H₂O,NH₄Cl,NaOH,C,Chemical Bonding,
Chemistry,Which substance turns red litmus blue?,HCl,NaOH,NaCl,H₂SO₄,B,Acids Bases Salts,
Chemistry,Which salt does NOT undergo hydrolysis?,Ammonium chloride,Sodium acetate,Sodium chloride,Potassium carbonate,C,Acids Bases Salts,
Chemistry,Which ion is discharged at the cathode during electrolysis?,Anion,Cation,Neutral atom,Molecule,B,Electrolysis,
Chemistry,Electrolysis of copper sulphate using copper electrodes results in,Increase in CuSO₄ concentration,Decrease in CuSO₄ concentration,No change in concentration,Formation of oxygen,C,Electrolysis,
Chemistry,Which metal is extracted by electrolysis?,Iron,Zinc,Aluminium,Copper,C,Metallurgy,
Chemistry,Which impurity is removed during roasting?,Moisture,Silica,Sulphur,Carbon,C,Metallurgy,
Chemistry,Which gas turns lime water milky?,O₂,CO₂,SO₂,NH₃,B,Study of Compounds,
Chemistry,Which property of ammonia makes it suitable as a refrigerant?,High density,High solubility,High latent heat,Basic nature,C,Study of Compounds,
Chemistry,General formula of alkanes is,CₙH₂ₙ,CₙH₂ₙ₊₂,CₙH₂ₙ₋₂,CₙHₙ,B,Organic Chemistry,
Chemistry,Which compound shows substitution reactions?,Ethene,Ethyne,Methane,Ethanol,C,Organic Chemistry,
Chemistry,Ethanol reacts with sodium to produce,Sodium ethoxide,Sodium hydroxide,Sodium carbonate,Sodium acetate,A,Organic Chemistry,
Chemistry,Which test distinguishes ethene from ethane?,Litmus test,Bromine water,Silver nitrate,Lime water,B,Organic Chemistry,
Chemistry,Which reagent is used to test sulphate ions?,Barium chloride,Silver nitrate,Sodium hydroxide,Ammonium chloride,A,Analytical Chemistry,
Chemistry,Formation of white precipitate insoluble in nitric acid confirms presence of,Chloride,Bromide,Iodide,Sulphate,A,Analytical Chemistry,
Chemistry,Which element forms the most acidic oxide?,Sodium,Magnesium,Aluminium,Chlorine,D,Periodic Table,
Chemistry,Valency of nitrogen in ammonia is,1,2,3,5,C,Chemical Bonding,
Chemistry,Which product is formed at anode during electrolysis of acidulated water?,Hydrogen,Oxygen,Water vapour,Acid,B,Electrolysis,
Chemistry,Which ore is concentrated by froth flotation?,Bauxite,Hematite,Galena,Magnetite,C,Metallurgy,
Chemistry,Which gas is dried using quicklime?,CO₂,SO₂,NH₃,HCl,C,Study of Compounds,
Chemistry,Esterification requires,Acid catalyst,Base catalyst,Oxidising agent,Reducing agent,A,Organic Chemistry,
Chemistry,Which indicator is used in titration involving weak acid and strong base?,Phenolphthalein,Methyl orange,Litmus,Universal indicator,A,Acids Bases Salts,
Biology,Assertion: Mitochondria are called the powerhouse of the cell. Reason: They release energy during cellular respiration.,Both A and R are true and R explains A,Both A and R are true but R does NOT explain A,"A is true, R is false",A is false R is True,A,Cell Biology,
Biology,Assertion: Ribosomes are present in both prokaryotic and eukaryotic cells. Reason: They are involved in protein synthesis.,Both A and R are true and R explains A,Both A and R are true but R does NOT explain A,"A is true, R is false",A is false R is True,A,Cell Biology,
Biology,Assertion: Red blood cells lack a nucleus. Reason: This provides more surface area for oxygen transport.,Both A and R are true and R explains A,Both A and R are true but R does NOT explain A,"A is true, R is false",A is false R is True,A,Cell Biology,
Biology,Assertion: Genes are located on chromosomes. Reason: Chromosomes are made of DNA and proteins.,Both A and R are true and R explains A,Both A and R are true but R does NOT explain A,"A is true, R is false",A is false R is True,A,Genetics,
Biology,Assertion: A dominant allele always expresses itself. Reason: It masks the effect of the recessive allele.,Both A and R are true and R explains A,Both A and R are true but R does NOT explain A,"A is true, R is false",A is false R is True,A,Genetics,
Biology,Assertion: Sex of a child is determined by the mother. Reason: The ovum carries X chromosome.,Both A and R are true and R explains A,Both A and R are true but R does NOT explain A,"A is true, R is false",A is false R is True,D,Genetics,
