Subject,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty,,,,
Maths,The GST paid on an item costing ₹1000 at 18% is: ,₹ 180,₹ 80,"₹ 1,180",₹ 100, A,Medium,,,,
Maths,"If the principal is ₹5000 and CI for 2 years at 10% is ₹1,025, what is the amount? ","₹ 6,025","₹ 6,020","₹ 6,026","₹ 5,200", A,Hard,,,,
Maths,The solution set of 2x + 3 = 7 is: , {2} , {3} , {1} , {–2} , C,Easy,,,,
Maths,"If x² – 9 = 0, then x = ", ±3 , ±9 ,0,3, A,Medium,,,,
Maths,"The product of matrices [[1,2],[3,4]] and [[2,0],[1,2]] is: "," [[4,4],[10,8]] "," [[2,2],[4,4]] "," [[3,4],[5,6]] "," [[1,1],[1,1]] ", A,Hard,,,,
Maths,"If x : y = 3 : 4, then y : x = ", 4 : 3 , 3 : 4 , 7 : 3 , 1 : 1 , A,Easy,,,,
Maths,"5th term of AP 3, 7, 11… is: ",19,15,11,23, A,Medium,,,,
Maths,"The midpoint of (2,–3) and (6,5) is: "," (4,1) "," (3,1) "," (8,2) "," (2,5) ", A,Hard,,,,
Maths,"In a right triangle with angles 30°, 60°, 90°, the sides are in ratio: ", 1:√3:2 , 1:1:1 , 2:2:2 , 1:2:3 , A,Easy,,,,
Maths,The probability of getting an even number on a fair die is: , 1/2 , 1/3 , 1/6 , 2/3 , A,Medium,,,,
Maths,"If GST rate is 12% on ₹750 item, total GST = ",₹ 90,₹ 75,₹ 120,₹ 180, A,Hard,,,,
Maths,The roots of x² – 5x + 6 = 0 are: ," 2, 3 "," –2, –3 "," 1, 6 "," 3, 2 ", A,Easy,,,,
Maths,"The determinant of [[2,3],[4,5]] is: ", –2 ,2, –1 ,1, A,Medium,,,,
Maths,If ratio a:b = 5:8 and b:c = 3:4 then a:c = , 5:8 , 15:32 , 5:12 , 3:2 , B,Hard,,,,
Maths,Sum of first 10 natural numbers is: ,55,45,65,50, A,Easy,,,,
Maths,"Reflection of point (3,4) in x-axis is: "," (3,–4) "," (–3,4) "," (–3,–4) "," (3,4) ", A,Medium,,,,
Maths,"In a circle, equal chords are: ", equidistant from the centre , unequal , perpendicular , concentric , A,Hard,,,,
Maths,The perimeter of a rectangle 5 by 8 is: ,26,40,13,20, A,Easy,,,,
Maths,The circumference of a circle radius 7 cm is: , 44 cm , 14 cm , 28 cm , 22 cm , A,Medium,,,,
Maths,"Mean of (2,4,6,8) is: ",5,6,4,7, A,Hard,,,,
Maths,"Median of (3,5,7,9,11) is: ",7,5,9,11, A,Easy,,,,
Maths,sin 30° = , 1/2 , √3/2 ,1,0, A,Medium,,,,
Maths,"If tan θ = 1, then θ = ", 45° , 30° , 60° , 90° , A,Hard,,,,
Maths,The area of triangle with base 10 and height 6 is: ,30,60,16,20, A,Easy,,,,
Maths,Solution of 3x + 4 < 10 is: , x < 2 , x > 2 , x < 3 , x > 3 , A,Medium,,,,
Maths,"If dividend theorem is applied to f(x), remainder is: ", f(a) , a ,0, x , A,Hard,,,,
Maths,"For a combined ratio 2:3 and 3:4, a:b:c = ", 8:12:12 , 6:9:12 , 2:3:4 , 3:4:5 , B,Easy,,,,
Maths,"For geometric progression 2,4,8…, 4th term is: ",16,12,10,8, A,Medium,,,,
Maths,"Distance between (1,2) and (4,6) is: ",5,7,6,4, A,Hard,,,,
Maths,Solution of 2x² – 8x = 0 is: ," {0,4} "," {2,4} "," {1,4} "," {0,2} ", A,Easy,,,,
Maths,Compound interest on ₹800 at 10% for 1 year = ,₹ 80,₹ 90,₹ 75,₹ 100, A,Medium,,,,
Maths,If 4x + 1 = 13 then x = ,3,2,4,1, A,Hard,,,,
Maths,"In a matrix, row × column = ", product , sum , identity , quotient , A,Easy,,,,
Maths,Ratio of 15:45 simplifies to: , 1:3 , 3:1 , 1:2 , 2:3 , A,Medium,,,,
Maths,Sum of interior angles of a triangle = , 180° , 360° , 90° , 270° , A,Hard,,,,
Maths,Quadratic equation with roots 2 & 3: , x² –5x+6=0 , x²+5x+6=0 , x²–x+6=0 , x –1=0 , A,Easy,,,,
Maths,Scalar multiple of matrix multiplies: , each element , diagonal only , trace , inverse , A,Medium,,,,
Maths,"If sin θ = cos θ, θ = ", 45° , 30° , 60° , 90° , A,Hard,,,,
Maths,Area of circle radius 14 = , 616π , 196π , 88π , 78π , A,Easy,,,,
Maths,"Probability of selecting red from 5 red, 3 blue = ", 5/8 , 3/8 , 1/2 , 5/3 , A,Medium,,,,
Maths,The solution of 5 + x = 12 is: ,7,5,17,12, A,Hard,,,,
Maths,"In proportion 4:8 = x:16, x = ",8,6,4,12, A,Easy,,,,
Maths,"Arithmetic mean of 10,20,30 is: ",20,30,15,25, A,Medium,,,,
Maths,Perimeter of square of side 9 is: ,36,27,18,45, A,Hard,,,,
Maths,Log10 100 = ,2,1,3,0, A,Easy,,,,
Maths,"If angle of elevation = 30°, height = 10, base = ",17.32,5,10,8.66, D,Medium,,,,
Maths,"In a frequency distribution, the mode is: ", highest frequency , lowest , average , range , A,Hard,,,,
Maths,Simple interest on ₹1000 @ 5% for 2 years = ,₹ 100,₹ 200,₹ 50,₹ 150, B,Easy,,,,
Maths,Quadratic eqn with no real roots has discriminant: , <0 , >0 , =0 , infinite , A,Medium,,,,
Maths,"Gradient of line through (1,2) & (3,6) = ",2,1,4,3, A,Hard,,,,
Maths,"[Mensuration] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",A is true but R is false,Both A and R are true but R is not the correct explanation of A,Both A and R are true and R is the correct explanation of A,A is false but R is true,C,Hard,,,,
Maths,"The HCF and LCM of two numbers are 12 and 180 respectively. If one number is 36, the other number is",48,60,72,90,B,Hard,,,,
Maths,The quadratic equation whose roots are 3 and –5 is,x² + 2x – 15 = 0,x² – 2x – 15 = 0,x² + 15x – 2 = 0,x² – 15x – 2 = 0,A,Easy,,,,
Maths,"The 15th term of the AP: –7, –3, 1, 5, … is",49,51,53,55,B,Medium,,,,
Maths,"If sin θ = √3/2 and θ is acute, then cos θ equals",01-Feb,√3/2,–1/2,–√3/2,A,Hard,,,,
Maths,The value of k for which the lines 3x – ky = 1 and 6x – 4y = 5 are parallel is,2,4,6,8,B,Easy,,,,
Maths,"The determinant of the matrix [[2, 3], [4, 6]] is",6,12,0,–6,C,Medium,,,,
Maths,The radius of a circle whose area is 154 cm² is,7 cm,14 cm,21 cm,3.5 cm,A,Hard,,,,
Maths,"If tan A = 1, then A equals",30°,45°,60°,90°,B,Easy,,,,
Maths,"The distance between points (2, –3) and (–4, 5) is",√68,10,√100,√52,C,Medium,,,,
Maths,"If the mean of the first n natural numbers is 20, then n equals",19,39,40,41,B,Hard,,,,
Physics,[Heat] Assertion (A): Electric energy is converted into mechanical energy in an electric motor. Reason (R): A current-carrying conductor placed in a magnetic field experiences a force.,A is false but R is true,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,B,Easy,,,,
Physics,[Modern Physics] Which radiation has the highest penetrating power?,Alpha particles,Beta particles,X-rays,Gamma rays,D,Medium,,,,
Physics,"[Force, Work & Energy] If the work done by a force is zero, the angle between force and displacement is:",180Â°,0Â°,90Â°,45Â°,C,Hard,,,,
Physics,[Light] A ray of light passes from air to glass. Which of the following changes occurs?,Frequency decreases,Speed decreases and wavelength decreases,Speed increases and wavelength increases,Speed remains constant,B,Easy,,,,
Physics,[Sound] The pitch of a sound depends on:,Speed of sound,Distance from source,Frequency of vibration,Amplitude of vibration,C,Medium,,,,
Physics,[Electricity] A resistor of resistance 4 Î© is connected to a 5 V battery. The current flowing through the circuit is:,1.75 A,2.25 A,0.95 A,1.25 A,D,Hard,,,,
Physics,[Heat] The quantity of heat required to change 1 kg of ice at 0Â°C to water at 0Â°C is called:,Specific heat capacity,Latent heat of vaporization,Thermal capacity,Latent heat of fusion,D,Medium,,,,
Physics,[Electricity] A resistor of resistance 3 Î© is connected to a 7 V battery. The current flowing through the circuit is:,2.33 A,3.33 A,2.83 A,2.03 A,A,Medium,,,,
Physics,"[Magnetism] If the work done by a force is zero, the angle between force and displacement is:",180Â°,0Â°,90Â°,45Â°,C,Hard,,,,
Chemistry,[Organic Chemistry] The functional group present in ethanol is:,â€“NHâ‚‚,â€“CHO,â€“OH,â€“COOH,C,Medium,,,,
Chemistry,[Analytical Chemistry] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is false but R is true,A is true but R is false,A,Hard,,,,
Chemistry,[Periodic Table] Which of the following elements has the highest electronegativity?,Fluorine,Oxygen,Chlorine,Nitrogen,A,Easy,,,,
Chemistry,[Chemical Bonding] The bond formed by sharing of electrons is called:,Ionic bond,Hydrogen bond,Covalent bond,Metallic bond,C,Medium,,,,
Chemistry,"[Acids, Bases & Salts] Which salt is formed when hydrochloric acid reacts with sodium hydroxide?",Sodium sulphate,Sodium chloride,Sodium carbonate,Sodium nitrate,B,Hard,,,,
Chemistry,[Mole Concept] The number of molecules in one mole of a substance is:,6.022 Ã— 10Â²Â³,9.8,3.0 Ã— 10â¸,1.6 Ã— 10â»Â¹â¹,A,Easy,,,,
Chemistry,"[Electrolysis] During electrolysis, oxidation occurs at the:",Anode,External circuit,Electrolyte,Cathode,A,Medium,,,,
Chemistry,[Study of Compounds] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is true but R is false,Both A and R are true and R is the correct explanation of A,A is false but R is true,Both A and R are true but R is not the correct explanation of A,B,Easy,,,,
Chemistry,[Electrolysis] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is false but R is true,A is true but R is false,Both A and R are true but R is not the correct explanation of A,Both A and R are true and R is the correct explanation of A,D,Medium,,,,
Chemistry,[Metallurgy] Which process is used for the concentration of sulphide ores?,Electrolysis,Froth flotation,Roasting,Calcination,B,Hard,,,,
Chemistry,[Study of Compounds] Which gas is evolved when zinc reacts with dilute sulphuric acid?,Carbon dioxide,Oxygen,Sulphur dioxide,Hydrogen,D,Easy,,,,
Chemistry,[Analytical Chemistry] Which reagent is used to test the presence of chloride ions?,Lime water,Barium chloride,Silver nitrate,Phenolphthalein,C,Hard,,,,
Chemistry,"[Acids, Bases & Salts] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.",A is true but R is false,A is false but R is true,Both A and R are true but R is not the correct explanation of A,Both A and R are true and R is the correct explanation of A,D,Hard,,,,
Chemistry,[Periodic Table] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,Both A and R are true and R is the correct explanation of A,D,Easy,,,,
Chemistry,[Organic Chemistry] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is true but R is false,Both A and R are true but R is not the correct explanation of A,A is false but R is true,Both A and R are true and R is the correct explanation of A,D,Medium,,,,
Chemistry,[Metallurgy] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is false but R is true,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,B,Hard,,,,
Chemistry,[Mole Concept] Assertion (A): Acids turn blue litmus red. Reason (R): Acids produce Hâº ions in aqueous solution.,A is true but R is false,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is false but R is true,B,Easy,,,,
Biology,[Genetics & Evolution] Which of the following is a sex-linked disease?,Haemophilia,Malaria,Tuberculosis,Cholera,A,Medium,,,,
Biology,[Plant Physiology] The opening and closing of stomata is regulated by:,Phloem,Xylem,Guard cells,Epidermal cells,C,Hard,,,,
Biology,[Environment & Pollution] Assertion (A): Transpiration helps in the upward movement of water in plants. Reason (R): Evaporation of water from leaves creates a transpiration pull.,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium,,,,
Biology,"[Practical Biology] In an osmosis experiment using potato strips, the strip kept in salt solution becomes:",Rigid,Turgid,Swollen,Flaccid,D,Hard,,,,
Biology,[Cell Biology] Which cell organelle is known as the powerhouse of the cell?,Nucleus,Golgi apparatus,Ribosome,Mitochondria,D,Easy,,,,
Biology,[Health & Hygiene] Assertion (A): Transpiration helps in the upward movement of water in plants. Reason (R): Evaporation of water from leaves creates a transpiration pull.,A is false but R is true,A is true but R is false,Both A and R are true but R is not the correct explanation of A,Both A and R are true and R is the correct explanation of A,D,Hard,,,,
Biology,[Population] An increase in population beyond carrying capacity results in:,Species stability,No change,Ecological balance,Environmental degradation,D,Easy,,,,
Biology,[Environment & Pollution] Which gas is mainly responsible for global warming?,Carbon dioxide,Hydrogen,Oxygen,Nitrogen,A,Medium,,,,
Biology,[Plant Physiology] Assertion (A): Transpiration helps in the upward movement of water in plants. Reason (R): Evaporation of water from leaves creates a transpiration pull.,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,Both A and R are true and R is the correct explanation of A,D,Hard,,,,
Biology,[Human Physiology] Which component of blood helps in clotting?,Platelets,RBC,Plasma,WBC,A,Easy,,,,
Biology,[Reproductive System] The site of fertilization in humans is:,Fallopian tube,Cervix,Ovary,Uterus,A,Medium,,,,
Biology,[Health & Hygiene] Which disease is caused by deficiency of vitamin D?,Beriberi,Rickets,Night blindness,Scurvy,B,Hard,,,,
Physics,The work done in moving a charge of 5 C across a potential difference of 12 V is,60 J,2.4 J,17 J,0.4 J,A,Easy,,,,
Physics,A fuse wire should have,low resistivity and high melting point,high resistivity and low melting point,low resistivity and low melting point,high resistivity and high melting point,B,Easy,,,,
Physics,The image formed by a concave lens is always,real and inverted,real and erect,virtual and erect,virtual and inverted,C,Easy,,,,
Physics,The frequency of an AC supply in India is,25 Hz,50 Hz,100 Hz,60 Hz,B,Easy,,,,
Physics,Which radiation has the least penetrating power?,Alpha,Beta,Gamma,X-rays,A,Easy,,,,
Physics,"If the speed of a body becomes double, its kinetic energy becomes",double,triple,four times,half,C,Easy,,,,
Physics,The neutral point in a bar magnet is the point where,magnetic field is strongest,magnetic field is zero,magnetic field is maximum,earth’s field is absent,B,Easy,,,,
Physics,Sound travels fastest in,air,water,vacuum,steel,D,Easy,,,,
Physics,The unit of electric power is,kilowatt-hour,joule,watt,volt,C,Easy,,,,
Physics,An ammeter is connected in,parallel,series,either way,diagonal,B,Easy,,,,
Chemistry,The element with atomic number 12 belongs to,group 2,group 12,group 10,group 1,A,Easy,,,,
Chemistry,The pH value of a strong acid is,less than 7,equal to 7,greater than 7,zero,A,Easy,,,,
Chemistry,Which gas is evolved when sodium reacts with water?,Oxygen,Hydrogen,Nitrogen,Carbon dioxide,B,Easy,,,,
Chemistry,The process of converting sugar into alcohol is called,oxidation,fermentation,hydration,neutralization,B,Easy,,,,
Chemistry,Which of the following is an oxidising agent?,Hydrogen,Carbon monoxide,Potassium permanganate,Zinc,C,Easy,,,,
Chemistry,The functional group present in ethanoic acid is,–OH,–CHO,–COOH,–COO–,C,Easy,,,,
Chemistry,The compound used to dry ammonia gas is,conc. H₂SO₄,quicklime,P₂O₅,anhydrous CaCl₂,B,Easy,,,,
Chemistry,The ore of aluminium is,haematite,bauxite,calamine,galena,B,Easy,,,,
Chemistry,Which bond is present in NaCl?,Covalent,Metallic,Hydrogen,Electrovalent,D,Easy,,,,
Chemistry,The molecular formula of ethene is,C₂H₆,C₂H₄,C₃H₆,CH₄,B,Easy,,,,
Biology,The site of photosynthesis in a plant cell is,mitochondria,ribosome,chloroplast,nucleus,C,Easy,,,,
Biology,Which blood vessel carries oxygenated blood from lungs to heart?,pulmonary artery,pulmonary vein,aorta,vena cava,B,Easy,,,,
Biology,The functional unit of kidney is,nephron,neuron,alveolus,villus,A,Easy,,,,
Biology,The opening and closing of stomata is controlled by,epidermal cells,guard cells,root hairs,xylem,B,Easy,,,,
Biology,Which hormone regulates blood sugar level?,Thyroxine,Insulin,Adrenaline,Estrogen,B,Easy,,,,
Biology,Fertilization in humans occurs in the,uterus,ovary,fallopian tube,cervix,C,Easy,,,,
Biology,Which disease is caused by deficiency of iodine?,Rickets,Goitre,Scurvy,Anaemia,B,Easy,,,,
Biology,Transpiration pull helps in,absorption of water,transport of food,transport of water,respiration,C,Easy,,,,
Biology,The chromosome number in human gametes is,46,23,22,44,B,Easy,,,,
Biology,Which organism is used in bread making?,Bacteria,Virus,Yeast,Algae,C,Easy,,,,
Physics,Two resistors of 4 Ω and 6 Ω are connected in parallel. The equivalent resistance is,10 Ω,5 Ω,2.4 Ω,1.5 Ω,C,Medium,,,,
Physics,"If the frequency of an AC source is doubled, the time period becomes",double,half,same,four times,B,Medium,,,,
Physics,A ray of light passes from glass to air. The angle of incidence is greater than the critical angle. The ray will,refract,reflect,totally reflect,bend towards normal,C,Medium,,,,
Physics,The energy of a body executing SHM is proportional to,amplitude,square of amplitude,frequency,velocity,B,Medium,,,,
Physics,Which factor does NOT affect the resistance of a conductor?,length,area of cross-section,temperature,voltage,D,Medium,,,,
Physics,"In Fleming’s left-hand rule, the thumb represents",current,force,magnetic field,emf,B,Medium,,,,
Physics,"A body is thrown vertically upwards. At the highest point, its",velocity is zero but acceleration is zero,velocity is zero but acceleration is g,velocity and acceleration are zero,acceleration is zero but velocity is g,B,Medium,,,,
Physics,The colour of light with the highest frequency is,red,green,blue,violet,D,Medium,,,,
Physics,The efficiency of a machine can never be 100% because,output,,,,,Medium,,,,
Maths,"If the roots of 2x² + kx + 8 = 0 are equal, the value of k is",8,–8,±8,±4√4,C,Medium,,,,
Maths,The sum of the first n terms of an AP is 3n² + 5n. The common difference is,3,5,6,8,C,Medium,,,,
Maths,"If sin A = 3/5 where A is acute, then (1 − tan²A)/(1 + tan²A) equals",Jul-25,16/25,–7/25,Sep-25,A,Medium,,,,
Maths,"The value of k for which the points (1,2), (4,k), (6,8) are collinear is",4,5,6,7,B,Medium,,,,
Maths,"The determinant of the matrix [[x,2],[3,4]] is zero when x equals",08-Mar,03-Feb,2,4,A,Medium,,,,
Maths,The ratio of the areas of two circles is 9 : 16. The ratio of their radii is,03:04,04:03,09:16,16:09,A,Medium,,,,
Maths,"If tan(A + B) = 1, where A = 30°, then B equals",15°,30°,45°,60°,C,Medium,,,,
Maths,"The mean of 10 observations is 12. If each observation is increased by 3, the new mean is",12,15,18,30,B,Medium,,,,
Maths,"The locus of a point equidistant from points (–2,0) and (2,0) is",x-axis,y-axis,line y = x,line y = –x,B,Medium,,,,
Maths,"If x = 2 is a solution of x³ + ax² – 4x – 8 = 0, then a equals",2,–2,4,–4,B,Medium,,,,
Chemistry,"An element has electronic configuration 2,8,7. It will",gain one electron,lose one electron,share seven electrons,lose seven electrons,A,Medium,,,,
Chemistry,Which compound will turn moist red litmus blue?,CO₂,NH₃,SO₂,HCl,B,Medium,,,,
Chemistry,The gas collected over water must be,soluble in water,heavier than air,insoluble in water,lighter than water,C,Medium,,,,
Chemistry,Which reaction represents oxidation?,Fe²⁺ → Fe³⁺,Cl₂ → 2Cl⁻,H⁺ → H,O²⁻ → O,A,Medium,,,,
Chemistry,The correct order of reactivity is,Zn > Fe > Cu,Cu > Fe > Zn,Fe > Zn > Cu,Zn > Cu > Fe,A,Medium,,,,
Chemistry,Which acid is present in vinegar?,Methanoic,Citric,Ethanoic,Lactic,C,Medium,,,,
Chemistry,The process of heating an ore in limited air is,roasting,calcination,smelting,electrolysis,B,Medium,,,,
Chemistry,Which compound will give a precipitate with AgNO₃?,NaCl,NaNO₃,Na₂SO₄,NaOH,A,Medium,,,,
Chemistry,The reducing agent in Zn + CuO → ZnO + Cu is,Zn,CuO,Cu,ZnO,A,Medium,,,,
Chemistry,The IUPAC name of CH₃–CH₂–OH is,methanol,ethanol,propanol,ethanoic acid,B,Medium,,,,
Biology,Which structure prevents backflow of blood in the heart?,septum,valves,auricle,ventricle,B,Medium,,,,
Biology,The sequence of passage of food in humans is,stomach → oesophagus → intestine,oesophagus → stomach → intestine,mouth → intestine → stomach,intestine → stomach → oesophagus,B,Medium,,,,
Biology,Which process releases energy in living cells?,photosynthesis,respiration,transpiration,diffusion,B,Medium,,,,
Biology,The number of chromosomes in a human zygote is,23,46,22,44,B,Medium,,,,
Biology,The part of the brain that controls balance is,cerebrum,medulla,cerebellum,pons,C,Medium,,,,
Biology,Which blood group is known as universal donor?,A,B,AB,O,D,Medium,,,,
Biology,The function of xylem is,transport of food,transport of water,respiration,storage,B,Medium,,,,
Biology,A bisexual flower contains,only stamens,only carpels,both stamens and carpels,neither,C,Medium,,,,
Biology,Which disease is caused by Plasmodium?,Dengue,Malaria,Typhoid,Cholera,B,Medium,,,,
Biology,Which organ detoxifies harmful substances?,kidney,liver,pancreas,spleen,B,Medium,,,,
Biology,Which cell organelle controls cell activities?,Ribosome,Nucleus,Mitochondria,Chloroplast,B,Medium,Cell Biology,,,
Biology,Which structure is absent in animal cells?,Cell membrane,Cell wall,Nucleus,Mitochondria,B,Hard,Cell Biology,,,
Biology,Alternative forms of a gene are called,Alleles,Chromatids,Traits,Genes,A,Medium,Genetics,,,
Biology,Genotype of a heterozygous tall plant is,TT,tt,Tt,T,C,Hard,Genetics,,,
Biology,Main force responsible for ascent of sap is,Root pressure,Capillarity,Transpiration pull,Diffusion,C,Medium,Plant Physiology,,,
Biology,Which tissue transports food in plants?,Xylem,Phloem,Cambium,Cortex,B,Hard,Plant Physiology,,,
Biology,Photosynthesis takes place in presence of,CO₂,O₂,Sunlight,All of these,D,Medium,Plant Physiology,,,
Biology,Which chamber of heart receives oxygenated blood?,Right atrium,Left atrium,Right ventricle,Left ventricle,B,Medium,Human Physiology,,,
Biology,Which blood vessel has maximum pressure?,Vein,Capillary,Artery,Vena cava,C,Hard,Human Physiology,,,
Biology,Which pigment carries oxygen in blood?,Melanin,Chlorophyll,Haemoglobin,Myoglobin,C,Medium,Human Physiology,,,
Biology,Functional unit of kidney is,Neuron,Nephron,Alveolus,Glomerulus,B,Hard,Excretory System,,,
Biology,Which part of brain controls balance?,Cerebrum,Cerebellum,Medulla,Hypothalamus,B,Medium,Nervous System,,,
Biology,Which nerve carries impulses from receptor to CNS?,Motor,Spinal,Autonomic,Sensory,D,Hard,Nervous System,,,
Biology,Which hormone regulates blood sugar?,Thyroxine,Insulin,Adrenaline,Glucagon,B,Medium,Endocrine System,,,
Biology,Deficiency of thyroxine in adults causes,Cretinism,Goitre,Diabetes,Dwarfism,B,Hard,Endocrine System,,,
Biology,Site of fertilisation in humans is,Ovary,Uterus,Fallopian tube,Cervix,C,Medium,Reproductive System,,,
Biology,Which hormone maintains pregnancy?,Estrogen,Progesterone,FSH,LH,B,Hard,Reproductive System,,,
Biology,Birth rate is defined as,Deaths per year,Births per year per 1000,Population size,Growth rate,B,Medium,Population,,,
Biology,Which human ancestor had upright posture?,Australopithecus,Neanderthal,Cro-Magnon,Homo habilis,A,Hard,Human Evolution,,,
Biology,Which pollutant causes eutrophication?,CO₂,Nitrates,SO₂,CO,B,Medium,Pollution,,,
Biology,Which gas is responsible for acid rain?,CO₂,SO₂,O₃,N₂,B,Hard,Pollution,,,
Biology,Which chemical is used to test presence of starch?,Iodine,Benedict’s reagent,Fehling’s solution,Biuret,A,Medium,Practicals,,,
Biology,Which cell type lacks nucleus?,WBC,Platelet,RBC,Neuron,C,Hard,Practicals,,,
Biology,Transpiration is maximum during,Night,Morning,Afternoon,Evening,C,Medium,Practicals,,,
Biology,Which structure prevents backflow of blood in veins?,Valves,Septum,Capillaries,Atria,A,Hard,Practicals,,,
Chemistry,Which element has the highest electronegativity?,Oxygen,Nitrogen,Fluorine,Chlorine,C,Medium,Periodic Table,,,
Chemistry,Number of shells in an atom is equal to its,Atomic number,Valency,Period number,Group number,C,Medium,Periodic Table,,,
Chemistry,Which compound is covalent in nature?,NaCl,KCl,HCl,MgO,C,Medium,Chemical Bonding,,,
Chemistry,Which substance contains coordinate bonds?,NH₃,H₂O,NH₄Cl,NaOH,C,Hard,Chemical Bonding,,,
Chemistry,Which substance turns red litmus blue?,HCl,NaOH,NaCl,H₂SO₄,B,Medium,Acids Bases Salts,,,
Chemistry,Which salt does NOT undergo hydrolysis?,Ammonium chloride,Sodium acetate,Sodium chloride,Potassium carbonate,C,Hard,Acids Bases Salts,,,
Chemistry,Which ion is discharged at the cathode during electrolysis?,Anion,Cation,Neutral atom,Molecule,B,Medium,Electrolysis,,,
Chemistry,Electrolysis of copper sulphate using copper electrodes results in,Increase in CuSO₄ concentration,Decrease in CuSO₄ concentration,No change in concentration,Formation of oxygen,C,Hard,Electrolysis,,,
Chemistry,Which metal is extracted by electrolysis?,Iron,Zinc,Aluminium,Copper,C,Medium,Metallurgy,,,
Chemistry,Which impurity is removed during roasting?,Moisture,Silica,Sulphur,Carbon,C,Hard,Metallurgy,,,
Chemistry,Which gas turns lime water milky?,O₂,CO₂,SO₂,NH₃,B,Medium,Study of Compounds,,,
Chemistry,Which property of ammonia makes it suitable as a refrigerant?,High density,High solubility,High latent heat,Basic nature,C,Hard,Study of Compounds,,,
Chemistry,General formula of alkanes is,CₙH₂ₙ,CₙH₂ₙ₊₂,CₙH₂ₙ₋₂,CₙHₙ,B,Medium,Organic Chemistry,,,
Chemistry,Which compound shows substitution reactions?,Ethene,Ethyne,Methane,Ethanol,C,Hard,Organic Chemistry,,,
Chemistry,Ethanol reacts with sodium to produce,Sodium ethoxide,Sodium hydroxide,Sodium carbonate,Sodium acetate,A,Medium,Organic Chemistry,,,
Chemistry,Which test distinguishes ethene from ethane?,Litmus test,Bromine water,Silver nitrate,Lime water,B,Hard,Organic Chemistry,,,
Chemistry,Which reagent is used to test sulphate ions?,Barium chloride,Silver nitrate,Sodium hydroxide,Ammonium chloride,A,Medium,Analytical Chemistry,,,
Chemistry,Formation of white precipitate insoluble in nitric acid confirms presence of,Chloride,Bromide,Iodide,Sulphate,A,Hard,Analytical Chemistry,,,
Chemistry,Which element forms the most acidic oxide?,Sodium,Magnesium,Aluminium,Chlorine,D,Hard,Periodic Table,,,
